Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Jun 2021,AGO,32097671,Cunene,current,2021-06-01,2021-09-30,4,148799,0.12
Jun 2021,AGO,32097671,Cunene,current,2021-06-01,2021-09-30,5,0,0
Jun 2021,AGO,32097671,Cunene,first projection,2021-10-01,2022-03-31,all,1271638,1.0
Jun 2021,AGO,32097671,Cunene,first projection,2021-10-01,2022-03-31,3+,750883,0.59
Jun 2021,AGO,32097671,Cunene,first projection,2021-10-01,2022-03-31,1,210263,0.17
Jun 2021,AGO,32097671,Cunene,first projection,2021-10-01,2022-03-31,2,310492,0.24
Jun 2021,AGO,32097671,Cunene,first projection,2021-10-01,2022-03-31,3,538282,0.42
Jun 2021,AGO,32097671,Cunene,first projection,2021-10-01,2022-03-31,4,212601,0.17
Jun 2021,AGO,32097671,Cunene,first projection,2021-10-01,2022-03-31,5,0,0
Jun 2021,AGO,32097671,Huíla,current,2021-06-01,2021-09-30,all,805849,1.0
Jun 2021,AGO,32097671,Huíla,current,2021-06-01,2021-09-30,3+,469787,0.58
Jun 2021,AGO,32097671,Huíla,current,2021-06-01,2021-09-30,1,107588,0.13
Jun 2021,AGO,32097671,Huíla,current,2021-06-01,2021-09-30,2,228475,0.28
Jun 2021,AGO,32097671,Huíla,current,2021-06-01,2021-09-30,3,371758,0.46
Jun 2021,AGO,32097671,Huíla,current,2021-06-01,2021-09-30,4,98028,0.12
Jun 2021,AGO,32097671,Huíla,current,2021-06-01,2021-09-30,5,0,0
Jun 2021,AGO,32097671,Huíla,first projection,2021-10-01,2022-03-31,all,827986,1.0
Jun 2021,AGO,32097671,Huíla,first projection,2021-10-01,2022-03-31,3+,541912,0.66
Jun 2021,AGO,32097671,Huíla,first projection,2021-10-01,2022-03-31,1,94043,0.11
Jun 2021,AGO,32097671,Huíla,first projection,2021-10-01,2022-03-31,2,192031,0.23
Jun 2021,AGO,32097671,Huíla,first projection,2021-10-01,2022-03-31,3,411525,0.5
Jun 2021,AGO,32097671,Huíla,first projection,2021-10-01,2022-03-31,4,130387,0.16
Jun 2021,AGO,32097671,Huíla,first projection,2021-10-01,2022-03-31,5,0,0
Jun 2021,AGO,32097671,Namibe,current,2021-06-01,2021-09-30,all,629405,1.0
Jun 2021,AGO,32097671,Namibe,current,2021-06-01,2021-09-30,3+,215306,0.35
Jun 2021,AGO,32097671,Namibe,current,2021-06-01,2021-09-30,1,196564,0.31
Jun 2021,AGO,32097671,Namibe,current,2021-06-01,2021-09-30,2,217535,0.35
Jun 2021,AGO,32097671,Namibe,current,2021-06-01,2021-09-30,3,154845,0.25
Jun 2021,AGO,32097671,Namibe,current,2021-06-01,2021-09-30,4,60461,0.1
Jun 2021,AGO,32097671,Namibe,current,2021-06-01,2021-09-30,5,0,0
Jun 2021,AGO,32097671,Namibe,first projection,2021-10-01,2022-03-31,all,650500,1.0
Jun 2021,AGO,32097671,Namibe,first projection,2021-10-01,2022-03-31,3+,291202,0.44
Jun 2021,AGO,32097671,Namibe,first projection,2021-10-01,2022-03-31,1,178518,0.27
Jun 2021,AGO,32097671,Namibe,first projection,2021-10-01,2022-03-31,2,180780,0.28
Jun 2021,AGO,32097671,Namibe,first projection,2021-10-01,2022-03-31,3,217531,0.33
Jun 2021,AGO,32097671,Namibe,first projection,2021-10-01,2022-03-31,4,73671,0.11
Jun 2021,AGO,32097671,Namibe,first projection,2021-10-01,2022-03-31,5,0,0
Aug 2019,AGO,31825000,Ombadja,current,2019-07-01,2019-09-30,all,234395,1.0
Aug 2019,AGO,31825000,Ombadja,current,2019-07-01,2019-09-30,3+,142655,0.61
Aug 2019,AGO,31825000,Ombadja,current,2019-07-01,2019-09-30,1,36977,0.16
Aug 2019,AGO,31825000,Ombadja,current,2019-07-01,2019-09-30,2,54764,0.23
Aug 2019,AGO,31825000,Ombadja,current,2019-07-01,2019-09-30,3,66945,0.29
Aug 2019,AGO,31825000,Ombadja,current,2019-07-01,2019-09-30,4,75710,0.32
Aug 2019,AGO,31825000,Ombadja,current,2019-07-01,2019-09-30,5,0,0
Aug 2019,AGO,31825000,Ombadja,first projection,2019-10-01,2020-02-29,all,234395,1.0
Aug 2019,AGO,31825000,Ombadja,first projection,2019-10-01,2020-02-29,3+,174585,0.74
Aug 2019,AGO,31825000,Ombadja,first projection,2019-10-01,2020-02-29,1,18954,0.08
Aug 2019,AGO,31825000,Ombadja,first projection,2019-10-01,2020-02-29,2,40856,0.17
Aug 2019,AGO,31825000,Ombadja,first projection,2019-10-01,2020-02-29,3,84782,0.36
Aug 2019,AGO,31825000,Ombadja,first projection,2019-10-01,2020-02-29,4,89803,0.38
Aug 2019,AGO,31825000,Ombadja,first projection,2019-10-01,2020-02-29,5,0,0
Aug 2019,AGO,31825000,Quilengues,current,2019-07-01,2019-09-30,all,75334,1.0
Aug 2019,AGO,31825000,Quilengues,current,2019-07-01,2019-09-30,3+,17566,0.23
Aug 2019,AGO,31825000,Quilengues,current,2019-07-01,2019-09-30,1,25223,0.33
Aug 2019,AGO,31825000,Quilengues,current,2019-07-01,2019-09-30,2,32544,0.43
Aug 2019,AGO,31825000,Quilengues,current,2019-07-01,2019-09-30,3,11199,0.15
Aug 2019,AGO,31825000,Quilengues,current,2019-07-01,2019-09-30,4,6367,0.08
Aug 2019,AGO,31825000,Quilengues,current,2019-07-01,2019-09-30,5,0,0
