Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Jul 2020,COD,103199000,Lomami,first projection,2021-01-01,2021-06-30,3,445205,0.17
Jul 2020,COD,103199000,Lomami,first projection,2021-01-01,2021-06-30,4,95566,0.04
Jul 2020,COD,103199000,Lomami,first projection,2021-01-01,2021-06-30,5,0,0
Jul 2020,COD,103199000,Mongala,current,2020-07-01,2020-12-31,all,1716653,1.0
Jul 2020,COD,103199000,Mongala,current,2020-07-01,2020-12-31,3+,343331,0.2
Jul 2020,COD,103199000,Mongala,current,2020-07-01,2020-12-31,1,493961,0.29
Jul 2020,COD,103199000,Mongala,current,2020-07-01,2020-12-31,2,879362,0.51
Jul 2020,COD,103199000,Mongala,current,2020-07-01,2020-12-31,3,257498,0.15
Jul 2020,COD,103199000,Mongala,current,2020-07-01,2020-12-31,4,85833,0.05
Jul 2020,COD,103199000,Mongala,current,2020-07-01,2020-12-31,5,0,0
Jul 2020,COD,103199000,Mongala,first projection,2021-01-01,2021-06-30,all,1716653,1.0
Jul 2020,COD,103199000,Mongala,first projection,2021-01-01,2021-06-30,3+,393541,0.23
Jul 2020,COD,103199000,Mongala,first projection,2021-01-01,2021-06-30,1,529583,0.31
Jul 2020,COD,103199000,Mongala,first projection,2021-01-01,2021-06-30,2,793529,0.46
Jul 2020,COD,103199000,Mongala,first projection,2021-01-01,2021-06-30,3,307708,0.18
Jul 2020,COD,103199000,Mongala,first projection,2021-01-01,2021-06-30,4,85833,0.05
Jul 2020,COD,103199000,Mongala,first projection,2021-01-01,2021-06-30,5,0,0
Jul 2020,COD,103199000,Tshuapa,current,2020-07-01,2020-12-31,all,1981246,1.0
Jul 2020,COD,103199000,Tshuapa,current,2020-07-01,2020-12-31,3+,450905,0.22
Jul 2020,COD,103199000,Tshuapa,current,2020-07-01,2020-12-31,1,567221,0.29
Jul 2020,COD,103199000,Tshuapa,current,2020-07-01,2020-12-31,2,963120,0.49
Jul 2020,COD,103199000,Tshuapa,current,2020-07-01,2020-12-31,3,382781,0.19
Jul 2020,COD,103199000,Tshuapa,current,2020-07-01,2020-12-31,4,68124,0.03
Jul 2020,COD,103199000,Tshuapa,current,2020-07-01,2020-12-31,5,0,0
Jul 2020,COD,103199000,Tshuapa,first projection,2021-01-01,2021-06-30,all,1981246,1.0
Jul 2020,COD,103199000,Tshuapa,first projection,2021-01-01,2021-06-30,3+,567391,0.28
Jul 2020,COD,103199000,Tshuapa,first projection,2021-01-01,2021-06-30,1,533201,0.27
Jul 2020,COD,103199000,Tshuapa,first projection,2021-01-01,2021-06-30,2,880654,0.44
Jul 2020,COD,103199000,Tshuapa,first projection,2021-01-01,2021-06-30,3,499267,0.25
Jul 2020,COD,103199000,Tshuapa,first projection,2021-01-01,2021-06-30,4,68124,0.03
Jul 2020,COD,103199000,Tshuapa,first projection,2021-01-01,2021-06-30,5,0,0
Jul 2020,COD,103199000,Haut Uélé,current,2020-07-01,2020-12-31,all,1090537,1.0
Jul 2020,COD,103199000,Haut Uélé,current,2020-07-01,2020-12-31,3+,315801,0.29
Jul 2020,COD,103199000,Haut Uélé,current,2020-07-01,2020-12-31,1,441477,0.4
Jul 2020,COD,103199000,Haut Uélé,current,2020-07-01,2020-12-31,2,333259,0.31
Jul 2020,COD,103199000,Haut Uélé,current,2020-07-01,2020-12-31,3,267372,0.25
Jul 2020,COD,103199000,Haut Uélé,current,2020-07-01,2020-12-31,4,48429,0.04
Jul 2020,COD,103199000,Haut Uélé,current,2020-07-01,2020-12-31,5,0,0
Jul 2020,COD,103199000,Haut Uélé,first projection,2021-01-01,2021-06-30,all,1090537,1.0
Jul 2020,COD,103199000,Haut Uélé,first projection,2021-01-01,2021-06-30,3+,286829,0.27
Jul 2020,COD,103199000,Haut Uélé,first projection,2021-01-01,2021-06-30,1,447575,0.41
Jul 2020,COD,103199000,Haut Uélé,first projection,2021-01-01,2021-06-30,2,356134,0.33
Jul 2020,COD,103199000,Haut Uélé,first projection,2021-01-01,2021-06-30,3,257021,0.24
Jul 2020,COD,103199000,Haut Uélé,first projection,2021-01-01,2021-06-30,4,29808,0.03
Jul 2020,COD,103199000,Haut Uélé,first projection,2021-01-01,2021-06-30,5,0,0
Jul 2020,COD,103199000,Sankuru,current,2020-07-01,2020-12-31,all,1702272,1.0
Jul 2020,COD,103199000,Sankuru,current,2020-07-01,2020-12-31,3+,680909,0.4
Jul 2020,COD,103199000,Sankuru,current,2020-07-01,2020-12-31,1,95985,0.06
Jul 2020,COD,103199000,Sankuru,current,2020-07-01,2020-12-31,2,925379,0.54
Jul 2020,COD,103199000,Sankuru,current,2020-07-01,2020-12-31,3,521553,0.31
Jul 2020,COD,103199000,Sankuru,current,2020-07-01,2020-12-31,4,159356,0.09
Jul 2020,COD,103199000,Sankuru,current,2020-07-01,2020-12-31,5,0,0
Jul 2020,COD,103199000,Sankuru,first projection,2021-01-01,2021-06-30,all,1702272,1.0
Jul 2020,COD,103199000,Sankuru,first projection,2021-01-01,2021-06-30,3+,532424,0.32
Jul 2020,COD,103199000,Sankuru,first projection,2021-01-01,2021-06-30,1,181098,0.11
Jul 2020,COD,103199000,Sankuru,first projection,2021-01-01,2021-06-30,2,988750,0.58
Jul 2020,COD,103199000,Sankuru,first projection,2021-01-01,2021-06-30,3,436439,0.26
Jul 2020,COD,103199000,Sankuru,first projection,2021-01-01,2021-06-30,4,95985,0.06
Jul 2020,COD,103199000,Sankuru,first projection,2021-01-01,2021-06-30,5,0,0
Jun 2019,COD,86791000,Bas Uélé,current,2019-07-01,2019-12-31,all,849427,1.0
Jun 2019,COD,86791000,Bas Uélé,current,2019-07-01,2019-12-31,3+,186874,0.22
Jun 2019,COD,86791000,Bas Uélé,current,2019-07-01,2019-12-31,1,178380,0.21
Jun 2019,COD,86791000,Bas Uélé,current,2019-07-01,2019-12-31,2,484173,0.57
Jun 2019,COD,86791000,Bas Uélé,current,2019-07-01,2019-12-31,3,127414,0.15
Jun 2019,COD,86791000,Bas Uélé,current,2019-07-01,2019-12-31,4,59460,0.07
Jun 2019,COD,86791000,Bas Uélé,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Bas Uélé,first projection,2020-01-01,2020-05-31,all,848230,1.0
Jun 2019,COD,86791000,Bas Uélé,first projection,2020-01-01,2020-05-31,3+,186611,0.22
Jun 2019,COD,86791000,Bas Uélé,first projection,2020-01-01,2020-05-31,1,178128,0.21
Jun 2019,COD,86791000,Bas Uélé,first projection,2020-01-01,2020-05-31,2,483491,0.57
Jun 2019,COD,86791000,Bas Uélé,first projection,2020-01-01,2020-05-31,3,144199,0.17
Jun 2019,COD,86791000,Bas Uélé,first projection,2020-01-01,2020-05-31,4,42412,0.05
Jun 2019,COD,86791000,Bas Uélé,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Haut-Katanga,current,2019-07-01,2019-12-31,all,930981,1.0
Jun 2019,COD,86791000,Haut-Katanga,current,2019-07-01,2019-12-31,3+,297914,0.32
Jun 2019,COD,86791000,Haut-Katanga,current,2019-07-01,2019-12-31,1,214126,0.23
Jun 2019,COD,86791000,Haut-Katanga,current,2019-07-01,2019-12-31,2,418941,0.45
Jun 2019,COD,86791000,Haut-Katanga,current,2019-07-01,2019-12-31,3,204816,0.22
Jun 2019,COD,86791000,Haut-Katanga,current,2019-07-01,2019-12-31,4,93098,0.1
Jun 2019,COD,86791000,Haut-Katanga,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Haut-Katanga,first projection,2020-01-01,2020-05-31,all,930981,1.0
Jun 2019,COD,86791000,Haut-Katanga,first projection,2020-01-01,2020-05-31,3+,279295,0.3
Jun 2019,COD,86791000,Haut-Katanga,first projection,2020-01-01,2020-05-31,1,214126,0.23
Jun 2019,COD,86791000,Haut-Katanga,first projection,2020-01-01,2020-05-31,2,437561,0.47
Jun 2019,COD,86791000,Haut-Katanga,first projection,2020-01-01,2020-05-31,3,214126,0.23
Jun 2019,COD,86791000,Haut-Katanga,first projection,2020-01-01,2020-05-31,4,65169,0.07
Jun 2019,COD,86791000,Haut-Katanga,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Kasai Central,current,2019-07-01,2019-12-31,all,3493777,1.0
Jun 2019,COD,86791000,Kasai Central,current,2019-07-01,2019-12-31,3+,1187885,0.34
Jun 2019,COD,86791000,Kasai Central,current,2019-07-01,2019-12-31,1,803569,0.23
Jun 2019,COD,86791000,Kasai Central,current,2019-07-01,2019-12-31,2,1502324,0.43
Jun 2019,COD,86791000,Kasai Central,current,2019-07-01,2019-12-31,3,663818,0.19
Jun 2019,COD,86791000,Kasai Central,current,2019-07-01,2019-12-31,4,524067,0.15
Jun 2019,COD,86791000,Kasai Central,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Kasai Central,first projection,2020-01-01,2020-05-31,all,3493777,1.0
Jun 2019,COD,86791000,Kasai Central,first projection,2020-01-01,2020-05-31,3+,768631,0.22
Jun 2019,COD,86791000,Kasai Central,first projection,2020-01-01,2020-05-31,1,1013195,0.29
Jun 2019,COD,86791000,Kasai Central,first projection,2020-01-01,2020-05-31,2,1711951,0.49
Jun 2019,COD,86791000,Kasai Central,first projection,2020-01-01,2020-05-31,3,489129,0.14
Jun 2019,COD,86791000,Kasai Central,first projection,2020-01-01,2020-05-31,4,279502,0.08
Jun 2019,COD,86791000,Kasai Central,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Lualaba,current,2019-07-01,2019-12-31,all,2069286,1.0
Jun 2019,COD,86791000,Lualaba,current,2019-07-01,2019-12-31,3+,372472,0.18
Jun 2019,COD,86791000,Lualaba,current,2019-07-01,2019-12-31,1,579400,0.28
Jun 2019,COD,86791000,Lualaba,current,2019-07-01,2019-12-31,2,1117414,0.54
Jun 2019,COD,86791000,Lualaba,current,2019-07-01,2019-12-31,3,331086,0.16
Jun 2019,COD,86791000,Lualaba,current,2019-07-01,2019-12-31,4,41386,0.02
Jun 2019,COD,86791000,Lualaba,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Lualaba,first projection,2020-01-01,2020-05-31,all,1565155,1.0
Jun 2019,COD,86791000,Lualaba,first projection,2020-01-01,2020-05-31,3+,250425,0.16
Jun 2019,COD,86791000,Lualaba,first projection,2020-01-01,2020-05-31,1,453895,0.29
Jun 2019,COD,86791000,Lualaba,first projection,2020-01-01,2020-05-31,2,860835,0.55
Jun 2019,COD,86791000,Lualaba,first projection,2020-01-01,2020-05-31,3,234773,0.15
Jun 2019,COD,86791000,Lualaba,first projection,2020-01-01,2020-05-31,4,15652,0.01
Jun 2019,COD,86791000,Lualaba,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Equateur,current,2019-07-01,2019-12-31,all,469756,1.0
Jun 2019,COD,86791000,Equateur,current,2019-07-01,2019-12-31,3+,70464,0.15
Jun 2019,COD,86791000,Equateur,current,2019-07-01,2019-12-31,1,140927,0.21
Jun 2019,COD,86791000,Equateur,current,2019-07-01,2019-12-31,2,258366,0.55
Jun 2019,COD,86791000,Equateur,current,2019-07-01,2019-12-31,3,46976,0.1
Jun 2019,COD,86791000,Equateur,current,2019-07-01,2019-12-31,4,23488,0.05
Jun 2019,COD,86791000,Equateur,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Haut Uélé,current,2019-07-01,2019-12-31,all,1372145,1.0
Jun 2019,COD,86791000,Haut Uélé,current,2019-07-01,2019-12-31,3+,397922,0.29
Jun 2019,COD,86791000,Haut Uélé,current,2019-07-01,2019-12-31,1,343036,0.25
Jun 2019,COD,86791000,Haut Uélé,current,2019-07-01,2019-12-31,2,631187,0.46
Jun 2019,COD,86791000,Haut Uélé,current,2019-07-01,2019-12-31,3,288150,0.21
Jun 2019,COD,86791000,Haut Uélé,current,2019-07-01,2019-12-31,4,109772,0.08
Jun 2019,COD,86791000,Haut Uélé,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Haut Uélé,first projection,2020-01-01,2020-05-31,all,565867,1.0
Jun 2019,COD,86791000,Haut Uélé,first projection,2020-01-01,2020-05-31,3+,220688,0.39
Jun 2019,COD,86791000,Haut Uélé,first projection,2020-01-01,2020-05-31,1,96197,0.17
Jun 2019,COD,86791000,Haut Uélé,first projection,2020-01-01,2020-05-31,2,248981,0.44
Jun 2019,COD,86791000,Haut Uélé,first projection,2020-01-01,2020-05-31,3,175419,0.31
Jun 2019,COD,86791000,Haut Uélé,first projection,2020-01-01,2020-05-31,4,45269,0.08
Jun 2019,COD,86791000,Haut Uélé,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Nord-Kivu,current,2019-07-01,2019-12-31,all,7018670,1.0
Jun 2019,COD,86791000,Nord-Kivu,current,2019-07-01,2019-12-31,3+,1754668,0.25
Jun 2019,COD,86791000,Nord-Kivu,current,2019-07-01,2019-12-31,1,2596908,0.37
Jun 2019,COD,86791000,Nord-Kivu,current,2019-07-01,2019-12-31,2,2667095,0.38
Jun 2019,COD,86791000,Nord-Kivu,current,2019-07-01,2019-12-31,3,1403734,0.2
Jun 2019,COD,86791000,Nord-Kivu,current,2019-07-01,2019-12-31,4,350934,0.05
Jun 2019,COD,86791000,Nord-Kivu,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Nord-Kivu,first projection,2020-01-01,2020-05-31,all,7018670,1.0
Jun 2019,COD,86791000,Nord-Kivu,first projection,2020-01-01,2020-05-31,3+,1895041,0.27
Jun 2019,COD,86791000,Nord-Kivu,first projection,2020-01-01,2020-05-31,1,2596908,0.37
Jun 2019,COD,86791000,Nord-Kivu,first projection,2020-01-01,2020-05-31,2,2526721,0.36
Jun 2019,COD,86791000,Nord-Kivu,first projection,2020-01-01,2020-05-31,3,1614294,0.23
Jun 2019,COD,86791000,Nord-Kivu,first projection,2020-01-01,2020-05-31,4,280747,0.04
Jun 2019,COD,86791000,Nord-Kivu,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Tanganyika,current,2019-07-01,2019-12-31,all,3039775,1.0
Jun 2019,COD,86791000,Tanganyika,current,2019-07-01,2019-12-31,3+,1246308,0.41
Jun 2019,COD,86791000,Tanganyika,current,2019-07-01,2019-12-31,1,607955,0.2
Jun 2019,COD,86791000,Tanganyika,current,2019-07-01,2019-12-31,2,1185512,0.39
Jun 2019,COD,86791000,Tanganyika,current,2019-07-01,2019-12-31,3,790342,0.26
Jun 2019,COD,86791000,Tanganyika,current,2019-07-01,2019-12-31,4,455966,0.15
Jun 2019,COD,86791000,Tanganyika,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Tanganyika,first projection,2020-01-01,2020-05-31,all,3039775,1.0
Jun 2019,COD,86791000,Tanganyika,first projection,2020-01-01,2020-05-31,3+,1094320,0.36
Jun 2019,COD,86791000,Tanganyika,first projection,2020-01-01,2020-05-31,1,699148,0.23
Jun 2019,COD,86791000,Tanganyika,first projection,2020-01-01,2020-05-31,2,1246308,0.41
Jun 2019,COD,86791000,Tanganyika,first projection,2020-01-01,2020-05-31,3,668751,0.22
Jun 2019,COD,86791000,Tanganyika,first projection,2020-01-01,2020-05-31,4,425569,0.14
Jun 2019,COD,86791000,Tanganyika,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Haut-Lomami,current,2019-07-01,2019-12-31,all,2809232,1.0
Jun 2019,COD,86791000,Haut-Lomami,current,2019-07-01,2019-12-31,3+,674216,0.24
Jun 2019,COD,86791000,Haut-Lomami,current,2019-07-01,2019-12-31,1,898954,0.32
Jun 2019,COD,86791000,Haut-Lomami,current,2019-07-01,2019-12-31,2,1236062,0.44
Jun 2019,COD,86791000,Haut-Lomami,current,2019-07-01,2019-12-31,3,505662,0.18
Jun 2019,COD,86791000,Haut-Lomami,current,2019-07-01,2019-12-31,4,168554,0.06
Jun 2019,COD,86791000,Haut-Lomami,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Haut-Lomami,first projection,2020-01-01,2020-05-31,all,2809232,1.0
Jun 2019,COD,86791000,Haut-Lomami,first projection,2020-01-01,2020-05-31,3+,730400,0.26
Jun 2019,COD,86791000,Haut-Lomami,first projection,2020-01-01,2020-05-31,1,814677,0.29
Jun 2019,COD,86791000,Haut-Lomami,first projection,2020-01-01,2020-05-31,2,1264154,0.45
Jun 2019,COD,86791000,Haut-Lomami,first projection,2020-01-01,2020-05-31,3,561846,0.2
Jun 2019,COD,86791000,Haut-Lomami,first projection,2020-01-01,2020-05-31,4,168554,0.06
Jun 2019,COD,86791000,Haut-Lomami,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Maï-Ndombe,current,2019-07-01,2019-12-31,all,1468011,1.0
Jun 2019,COD,86791000,Maï-Ndombe,current,2019-07-01,2019-12-31,3+,161481,0.11
Jun 2019,COD,86791000,Maï-Ndombe,current,2019-07-01,2019-12-31,1,572524,0.39
Jun 2019,COD,86791000,Maï-Ndombe,current,2019-07-01,2019-12-31,2,734006,0.5
Jun 2019,COD,86791000,Maï-Ndombe,current,2019-07-01,2019-12-31,3,146801,0.1
Jun 2019,COD,86791000,Maï-Ndombe,current,2019-07-01,2019-12-31,4,14680,0.01
Jun 2019,COD,86791000,Maï-Ndombe,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Sud-Kivu,current,2019-07-01,2019-12-31,all,5603623,1.0
Jun 2019,COD,86791000,Sud-Kivu,current,2019-07-01,2019-12-31,3+,1456942,0.26
Jun 2019,COD,86791000,Sud-Kivu,current,2019-07-01,2019-12-31,1,1737123,0.31
Jun 2019,COD,86791000,Sud-Kivu,current,2019-07-01,2019-12-31,2,2409558,0.43
Jun 2019,COD,86791000,Sud-Kivu,current,2019-07-01,2019-12-31,3,1064688,0.19
Jun 2019,COD,86791000,Sud-Kivu,current,2019-07-01,2019-12-31,4,392254,0.07
Jun 2019,COD,86791000,Sud-Kivu,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Sud-Kivu,first projection,2020-01-01,2020-05-31,all,5603623,1.0
Jun 2019,COD,86791000,Sud-Kivu,first projection,2020-01-01,2020-05-31,3+,1400906,0.25
Jun 2019,COD,86791000,Sud-Kivu,first projection,2020-01-01,2020-05-31,1,1849196,0.33
Jun 2019,COD,86791000,Sud-Kivu,first projection,2020-01-01,2020-05-31,2,2353522,0.42
Jun 2019,COD,86791000,Sud-Kivu,first projection,2020-01-01,2020-05-31,3,1008652,0.18
Jun 2019,COD,86791000,Sud-Kivu,first projection,2020-01-01,2020-05-31,4,392254,0.07
Jun 2019,COD,86791000,Sud-Kivu,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Sankuru,current,2019-07-01,2019-12-31,all,1978289,1.0
Jun 2019,COD,86791000,Sankuru,current,2019-07-01,2019-12-31,3+,455007,0.23
Jun 2019,COD,86791000,Sankuru,current,2019-07-01,2019-12-31,1,593487,0.3
Jun 2019,COD,86791000,Sankuru,current,2019-07-01,2019-12-31,2,929796,0.47
Jun 2019,COD,86791000,Sankuru,current,2019-07-01,2019-12-31,3,375875,0.19
Jun 2019,COD,86791000,Sankuru,current,2019-07-01,2019-12-31,4,79132,0.04
Jun 2019,COD,86791000,Sankuru,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Sankuru,first projection,2020-01-01,2020-05-31,all,1978289,1.0
Jun 2019,COD,86791000,Sankuru,first projection,2020-01-01,2020-05-31,3+,455007,0.23
Jun 2019,COD,86791000,Sankuru,first projection,2020-01-01,2020-05-31,1,593487,0.3
Jun 2019,COD,86791000,Sankuru,first projection,2020-01-01,2020-05-31,2,929796,0.47
Jun 2019,COD,86791000,Sankuru,first projection,2020-01-01,2020-05-31,3,415441,0.21
Jun 2019,COD,86791000,Sankuru,first projection,2020-01-01,2020-05-31,4,39566,0.02
Jun 2019,COD,86791000,Sankuru,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Maniema,current,2019-07-01,2019-12-31,all,1330484,1.0
Jun 2019,COD,86791000,Maniema,current,2019-07-01,2019-12-31,3+,345926,0.26
Jun 2019,COD,86791000,Maniema,current,2019-07-01,2019-12-31,1,452365,0.34
Jun 2019,COD,86791000,Maniema,current,2019-07-01,2019-12-31,2,532194,0.4
Jun 2019,COD,86791000,Maniema,current,2019-07-01,2019-12-31,3,279402,0.21
Jun 2019,COD,86791000,Maniema,current,2019-07-01,2019-12-31,4,66524,0.05
Jun 2019,COD,86791000,Maniema,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Maniema,first projection,2020-01-01,2020-05-31,all,1115125,1.0
Jun 2019,COD,86791000,Maniema,first projection,2020-01-01,2020-05-31,3+,301084,0.27
Jun 2019,COD,86791000,Maniema,first projection,2020-01-01,2020-05-31,1,367991,0.33
Jun 2019,COD,86791000,Maniema,first projection,2020-01-01,2020-05-31,2,446050,0.4
Jun 2019,COD,86791000,Maniema,first projection,2020-01-01,2020-05-31,3,178420,0.16
Jun 2019,COD,86791000,Maniema,first projection,2020-01-01,2020-05-31,4,122664,0.11
Jun 2019,COD,86791000,Maniema,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Kasai,current,2019-07-01,2019-12-31,all,2977257,1.0
Jun 2019,COD,86791000,Kasai,current,2019-07-01,2019-12-31,3+,1190903,0.4
Jun 2019,COD,86791000,Kasai,current,2019-07-01,2019-12-31,1,654997,0.22
Jun 2019,COD,86791000,Kasai,current,2019-07-01,2019-12-31,2,1131358,0.38
Jun 2019,COD,86791000,Kasai,current,2019-07-01,2019-12-31,3,774087,0.26
Jun 2019,COD,86791000,Kasai,current,2019-07-01,2019-12-31,4,416816,0.14
Jun 2019,COD,86791000,Kasai,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Kasai,first projection,2020-01-01,2020-05-31,all,2976456,1.0
Jun 2019,COD,86791000,Kasai,first projection,2020-01-01,2020-05-31,3+,1220347,0.41
Jun 2019,COD,86791000,Kasai,first projection,2020-01-01,2020-05-31,1,744114,0.25
Jun 2019,COD,86791000,Kasai,first projection,2020-01-01,2020-05-31,2,1011995,0.34
Jun 2019,COD,86791000,Kasai,first projection,2020-01-01,2020-05-31,3,773879,0.26
Jun 2019,COD,86791000,Kasai,first projection,2020-01-01,2020-05-31,4,446468,0.15
Jun 2019,COD,86791000,Kasai,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Sud Ubangi,current,2019-07-01,2019-12-31,all,2711920,1.0
Jun 2019,COD,86791000,Sud Ubangi,current,2019-07-01,2019-12-31,3+,406788,0.15
Jun 2019,COD,86791000,Sud Ubangi,current,2019-07-01,2019-12-31,1,976291,0.36
Jun 2019,COD,86791000,Sud Ubangi,current,2019-07-01,2019-12-31,2,1328841,0.49
Jun 2019,COD,86791000,Sud Ubangi,current,2019-07-01,2019-12-31,3,406788,0.15
Jun 2019,COD,86791000,Sud Ubangi,current,2019-07-01,2019-12-31,4,0,0
Jun 2019,COD,86791000,Sud Ubangi,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Sud Ubangi,first projection,2020-01-01,2020-05-31,all,405767,1.0
Jun 2019,COD,86791000,Sud Ubangi,first projection,2020-01-01,2020-05-31,3+,81153,0.2
Jun 2019,COD,86791000,Sud Ubangi,first projection,2020-01-01,2020-05-31,1,121730,0.3
Jun 2019,COD,86791000,Sud Ubangi,first projection,2020-01-01,2020-05-31,2,202884,0.5
Jun 2019,COD,86791000,Sud Ubangi,first projection,2020-01-01,2020-05-31,3,81153,0.2
Jun 2019,COD,86791000,Sud Ubangi,first projection,2020-01-01,2020-05-31,4,0,0
Jun 2019,COD,86791000,Sud Ubangi,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Nord Ubangi,current,2019-07-01,2019-12-31,all,1383058,1.0
Jun 2019,COD,86791000,Nord Ubangi,current,2019-07-01,2019-12-31,3+,207459,0.15
Jun 2019,COD,86791000,Nord Ubangi,current,2019-07-01,2019-12-31,1,608546,0.44
Jun 2019,COD,86791000,Nord Ubangi,current,2019-07-01,2019-12-31,2,567054,0.41
Jun 2019,COD,86791000,Nord Ubangi,current,2019-07-01,2019-12-31,3,179798,0.13
Jun 2019,COD,86791000,Nord Ubangi,current,2019-07-01,2019-12-31,4,27661,0.02
Jun 2019,COD,86791000,Nord Ubangi,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Nord Ubangi,first projection,2020-01-01,2020-05-31,all,1031569,1.0
Jun 2019,COD,86791000,Nord Ubangi,first projection,2020-01-01,2020-05-31,3+,247577,0.24
Jun 2019,COD,86791000,Nord Ubangi,first projection,2020-01-01,2020-05-31,1,391996,0.38
Jun 2019,COD,86791000,Nord Ubangi,first projection,2020-01-01,2020-05-31,2,391996,0.38
Jun 2019,COD,86791000,Nord Ubangi,first projection,2020-01-01,2020-05-31,3,206314,0.2
Jun 2019,COD,86791000,Nord Ubangi,first projection,2020-01-01,2020-05-31,4,41263,0.04
Jun 2019,COD,86791000,Nord Ubangi,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Mongala,current,2019-07-01,2019-12-31,all,2450957,1.0
Jun 2019,COD,86791000,Mongala,current,2019-07-01,2019-12-31,3+,171567,0.07
Jun 2019,COD,86791000,Mongala,current,2019-07-01,2019-12-31,1,784306,0.32
Jun 2019,COD,86791000,Mongala,current,2019-07-01,2019-12-31,2,1495084,0.61
Jun 2019,COD,86791000,Mongala,current,2019-07-01,2019-12-31,3,171567,0.07
Jun 2019,COD,86791000,Mongala,current,2019-07-01,2019-12-31,4,0,0
Jun 2019,COD,86791000,Mongala,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Mongala,first projection,2020-01-01,2020-05-31,all,975901,1.0
Jun 2019,COD,86791000,Mongala,first projection,2020-01-01,2020-05-31,3+,48795,0.05
Jun 2019,COD,86791000,Mongala,first projection,2020-01-01,2020-05-31,1,439155,0.45
Jun 2019,COD,86791000,Mongala,first projection,2020-01-01,2020-05-31,2,487951,0.5
Jun 2019,COD,86791000,Mongala,first projection,2020-01-01,2020-05-31,3,48795,0.05
Jun 2019,COD,86791000,Mongala,first projection,2020-01-01,2020-05-31,4,0,0
Jun 2019,COD,86791000,Mongala,first projection,2020-01-01,2020-05-31,5,0,0
Jun 2019,COD,86791000,Tshuapa,current,2019-07-01,2019-12-31,all,2060148,1.0
Jun 2019,COD,86791000,Tshuapa,current,2019-07-01,2019-12-31,3+,370826,0.18
Jun 2019,COD,86791000,Tshuapa,current,2019-07-01,2019-12-31,1,762255,0.37
Jun 2019,COD,86791000,Tshuapa,current,2019-07-01,2019-12-31,2,927067,0.45
Jun 2019,COD,86791000,Tshuapa,current,2019-07-01,2019-12-31,3,350225,0.17
Jun 2019,COD,86791000,Tshuapa,current,2019-07-01,2019-12-31,4,20601,0.01
Jun 2019,COD,86791000,Tshuapa,current,2019-07-01,2019-12-31,5,0,0
Jun 2019,COD,86791000,Lomami,current,2019-07-01,2019-12-31,all,3139586,1.0
Jun 2019,COD,86791000,Lomami,current,2019-07-01,2019-12-31,3+,470938,0.15
Jun 2019,COD,86791000,Lomami,current,2019-07-01,2019-12-31,1,973272,0.31
Jun 2019,COD,86791000,Lomami,current,2019-07-01,2019-12-31,2,1695376,0.54
Jun 2019,COD,86791000,Lomami,current,2019-07-01,2019-12-31,3,408146,0.13
